sample,from,to,sync_ms,clean_blk_s
2307,23079900,23079999,2048,48.8
2308,23089900,23089999,2048,48.8
2309,23099900,23099999,2235,44.7
2310,23109900,23109999,2349,42.5
2311,23119900,23119999,2225,44.9
2312,23129900,23129999,2297,43.5
2313,23139900,23139999,2061,48.5
2314,23149900,23149999,2111,47.3
2315,23159900,23159999,1850,54.0
2316,23169900,23169999,2106,47.4
2317,23179900,23179999,1716,58.2
2318,23189900,23189999,2216,45.1
2319,23199900,23199999,2106,47.4
2320,23209900,23209999,1885,53.0
2321,23219900,23219999,2029,49.2
2322,23229900,23229999,2097,47.6
2323,23239900,23239999,2196,45.5
2324,23249900,23249999,1984,50.4
2325,23259900,23259999,1992,50.2
2326,23269900,23269999,1935,51.6
2327,23279900,23279999,1918,52.1
2328,23289900,23289999,1895,52.7
2329,23299900,23299999,2049,48.8
2330,23309900,23309999,1889,52.9
2331,23319900,23319999,2184,45.7
2332,23329900,23329999,1990,50.2
2333,23339900,23339999,2088,47.8
2334,23349900,23349999,2137,46.7
2335,23359900,23359999,1996,50.1
2336,23369900,23369999,1753,57.0
2337,23379900,23379999,2269,44.0
2338,23389900,23389999,1752,57.0
2339,23399900,23399999,1880,53.1
2340,23409900,23409999,1931,51.7
2341,23419900,23419999,2116,47.2
2342,23429900,23429999,2050,48.7
2343,23439900,23439999,2102,47.5
2344,23449900,23449999,2432,41.1
2345,23459900,23459999,2054,48.6
2346,23469900,23469999,1800,55.5
2347,23479900,23479999,2651,37.7
2348,23489900,23489999,2103,47.5
2349,23499900,23499999,1652,60.5
2350,23509900,23509999,2221,45.0
2351,23519900,23519999,1919,52.1
2352,23529900,23529999,1658,60.3
2353,23539900,23539999,2004,49.9
2354,23549900,23549999,2336,42.8
2355,23559900,23559999,2384,41.9
2356,23569900,23569999,2066,48.4
2357,23579900,23579999,2279,43.8
2358,23589900,23589999,2087,47.9
2359,23599900,23599999,2254,44.3
2360,23609900,23609999,2168,46.1
2361,23619900,23619999,1990,50.2
2362,23629900,23629999,1857,53.8
2363,23639900,23639999,2007,49.8
2364,23649900,23649999,1917,52.1
2365,23659900,23659999,1750,57.1
2366,23669900,23669999,2092,47.8
2367,23679900,23679999,1973,50.6
2368,23689900,23689999,2190,45.6
2369,23699900,23699999,2752,36.3
2370,23709900,23709999,1847,54.1
2371,23719900,23719999,1962,50.9
2372,23729900,23729999,2132,46.9
2373,23739900,23739999,1681,59.4
2374,23749900,23749999,2097,47.6
2375,23759900,23759999,2043,48.9
2376,23769900,23769999,1878,53.2
2377,23779900,23779999,1886,53.0
2378,23789900,23789999,2059,48.5
2379,23799900,23799999,1999,50.0
2380,23809900,23809999,1823,54.8
2381,23819900,23819999,2047,48.8
2382,23829900,23829999,1861,53.7
2383,23839900,23839999,1889,52.9
2384,23849900,23849999,2123,47.1
2385,23859900,23859999,1914,52.2
2386,23869900,23869999,1946,51.3
2387,23879900,23879999,2344,42.6
2388,23889900,23889999,3078,32.4
2389,23899900,23899999,2399,41.6
2390,23909900,23909999,2191,45.6
2391,23919900,23919999,2603,38.4
2392,23929900,23929999,2582,38.7
2393,23939900,23939999,2672,37.4
2394,23949900,23949999,2401,41.6
2395,23959900,23959999,2976,33.6
2396,23969900,23969999,2808,35.6
2397,23979900,23979999,3184,31.4
2398,23989900,23989999,2886,34.6
2399,23999900,23999999,2167,46.1
2400,24009900,24009999,2688,37.2
2401,24019900,24019999,2636,37.9
2402,24029900,24029999,2694,37.1
2403,24039900,24039999,2623,38.1
2404,24049900,24049999,2352,42.5
2405,24059900,24059999,2277,43.9
2406,24069900,24069999,2585,38.6
2407,24079900,24079999,2606,38.3
2408,24089900,24089999,2727,36.6
2409,24099900,24099999,2531,39.5
2410,24109900,24109999,2265,44.1
2411,24119900,24119999,2677,37.3
2412,24129900,24129999,2920,34.2
2413,24139900,24139999,2442,40.9
2414,24149900,24149999,2731,36.6
2415,24159900,24159999,2570,38.9
2416,24169900,24169999,2651,37.7
2417,24179900,24179999,2627,38.0
2418,24189900,24189999,2536,39.4
2419,24199900,24199999,2396,41.7
2420,24209900,24209999,2135,46.8
2421,24219900,24219999,2364,42.3
2422,24229900,24229999,2541,39.3
2423,24239900,24239999,2590,38.6
2424,24249900,24249999,2783,35.9
2425,24259900,24259999,2647,37.7
2426,24269900,24269999,2471,40.4
2427,24279900,24279999,2593,38.5
2428,24289900,24289999,2554,39.1
2429,24299900,24299999,2503,39.9
2430,24309900,24309999,2368,42.2
2431,24319900,24319999,2594,38.5
2432,24329900,24329999,2423,41.2
2433,24339900,24339999,2352,42.5
2434,24349900,24349999,2641,37.8
2435,24359900,24359999,2432,41.1
2436,24369900,24369999,2596,38.5
2437,24379900,24379999,2635,37.9
2438,24389900,24389999,2556,39.1
2439,24399900,24399999,2844,35.1
2440,24409900,24409999,3056,32.7
2441,24419900,24419999,2731,36.6
2442,24429900,24429999,2577,38.8
2443,24439900,24439999,2711,36.8
2444,24449900,24449999,2475,40.4
2445,24459900,24459999,2545,39.2
2446,24469900,24469999,2449,40.8
2447,24479900,24479999,2212,45.2
2448,24489900,24489999,2409,41.5
2449,24499900,24499999,2556,39.1
2450,24509900,24509999,2049,48.8
2451,24519900,24519999,2757,36.2
2452,24529900,24529999,2341,42.7
2453,24539900,24539999,2753,36.3
2454,24549900,24549999,2753,36.3
2455,24559900,24559999,2472,40.4
2456,24569900,24569999,2451,40.7
2457,24579900,24579999,2432,41.1
2458,24589900,24589999,2492,40.1
